"brand_model_base","body_type"
"ford-f_150","Pickup Truck"
"chevrolet-silverado_1500","Pickup Truck"
"ram-1500","Pickup Truck"
"toyota-tacoma","Pickup Truck"
"toyota-camry","Sedan"
"gmc-sierra_1500","Pickup Truck"
"honda-accord","Sedan"
"jeep-grand_cherokee","SUV"
"honda-civic","Sedan"
"gmc-yukon","SUV"
"nissan-rogue","SUV"
"jeep-wrangler","SUV"
"hyundai-palisade","SUV"
"mazda-cx_5","SUV"
"lexus-rx_350","SUV"
"kia-sorento","SUV"
"kia-telluride","SUV"
"subaru-outback","Wagon"
"volkswagen-atlas","SUV"
"subaru-forester","SUV"
"ford-mustang","Coupe"
"ram-2500","Pickup Truck"
"chrysler-pacifica","SUV"
"bmw-x3","SUV"
"acura-mdx","SUV"
"volkswagen-tiguan","SUV"
"acura-rdx","SUV"
"bmw-x5","SUV"
"hyundai-elantra","Sedan"
"dodge-charger","Sedan"
"audi-q5","SUV"
"dodge-challenger","Coupe"
"audi-q7","SUV"
"nissan-altima","Sedan"
"cadillac-escalade","SUV"
"chevrolet-corvette","Coupe"
"buick-enclave","SUV"
"cadillac-xt5","SUV"
"infiniti-qx80","SUV"
"infiniti-qx60","SUV"
"genesis-gv80","SUV"
"lincoln-navigator","SUV"
"buick-envision","SUV"
"volvo-xc60","SUV"
"lincoln-aviator","SUV"
"tesla-model_y","SUV"
"mercedes_benz-e_class","Sedan"
"toyota-rav4","SUV"
"land_rover-range_rover_sport","SUV"
"volvo-xc90","SUV"
"mitsubishi-outlander","SUV"
"ford-explorer","SUV"
"chevrolet-traverse","SUV"
"tesla-model_3","Sedan"
"toyota-corolla","Sedan"
"lexus-es_350","Sedan"
"land_rover-range_rover","SUV"
"mazda-mazda3","Sedan"
"jeep-wrangler_unlimited","SUV"
"honda-cr_v","SUV"
"toyota-highlander","SUV"
"chevrolet-tahoe","SUV"
"toyota-tundra","Pickup Truck"
"porsche-cayenne","SUV"
"chevrolet-equinox","SUV"
"genesis-gv70","SUV"
"chrysler-300","Sedan"
"hyundai-tucson","SUV"
"mini-countryman","SUV"
"honda-odyssey","SUV"
"mercedes_benz-s_class","Sedan"
"jeep-compass","SUV"
"alfa_romeo-stelvio","SUV"
"toyota-4runner","SUV"
"honda-pilot","SUV"
"jeep-gladiator","Pickup Truck"
"honda-cr_v_hybrid","SUV"
"mitsubishi-outlander_sport","SUV"
"chevrolet-trailblazer","SUV"
"ford-edge","SUV"
"gmc-acadia","SUV"
"ford-escape","SUV"
"chevrolet-suburban","SUV"
"nissan-pathfinder","SUV"
"toyota-rav4_hybrid","SUV"
"gmc-yukon_xl","SUV"
"chevrolet-silverado_2500","Pickup Truck"
"honda-accord_hybrid","Sedan"
"ford-bronco","SUV"
"lexus-gx_460","SUV"
"jeep-grand_cherokee_l","SUV"
"chevrolet-malibu","Sedan"
"ford-f_250","Pickup Truck"
"dodge-durango","SUV"
"chevrolet-blazer","SUV"
"hyundai-santa_fe","SUV"
"buick-encore_gx","SUV"
"jeep-cherokee","SUV"
"chevrolet-trax","SUV"
"ford-ranger","Pickup Truck"
"nissan-frontier","Pickup Truck"
"ford-bronco_sport","SUV"
