"car_model_sk","car_model","brand","car_name","car_link","review_link","car_rating","car_rating_count","percentage_recommend","rating_comfort","rating_interior","rating_performance","rating_value","rating_exterior","rating_reliability","listing_count","min_price","max_price","avg_price","review_count"
"a1cb09fc30af413eccf3fb18fc2bbf3c","acura-adx-2025","Acura","2025 Acura Adx","https://www.cars.com/research/acura-adx-2025/","https://www.cars.com/research/acura-adx-2025/consumer-reviews/?page_size=40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2","33498","33800","33649","0"
"57066729e18343fe55e81db4e25524ca","acura-integra-2023","Acura","2023 Acura Integra","https://www.cars.com/research/acura-integra-2023/","https://www.cars.com/research/acura-integra-2023/consumer-reviews/?page_size=40","4.2",10,"90.0","5.0","5.0","4.0","5.0","5.0","5.0","1","26173","26173","26173","11"
"cee2214ca03ed896e9372bc2ac2bdcf9","acura-integra-2024","Acura","2024 Acura Integra","https://www.cars.com/research/acura-integra-2024/","https://www.cars.com/research/acura-integra-2024/consumer-reviews/?page_size=40","3.9",12,"75.0","4.0","5.0","5.0","5.0","5.0","5.0","2","31599","31997","31798","12"
"76bcbce0be4f70e293b3b8cfa8a16b60","acura-integra-2025","Acura","2025 Acura Integra","https://www.cars.com/research/acura-integra-2025/","https://www.cars.com/research/acura-integra-2025/consumer-reviews/?page_size=40","3.5",2,"50.0","2.0","4.0","3.0","1.0","4.0","1.0","1","32056","32056","32056","3"
"f1d695154ba7e17d830f70f1209c8f06","acura-integra-2026","Acura","2026 Acura Integra","https://www.cars.com/research/acura-integra-2026/","https://www.cars.com/research/acura-integra-2026/consumer-reviews/?page_size=40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","37002","37002","37002","1"
"de26110995f237ad123f16811a56adfe","acura-mdx-2012","Acura","2012 Acura Mdx","https://www.cars.com/research/acura-mdx-2012/","https://www.cars.com/research/acura-mdx-2012/consumer-reviews/?page_size=40","4.6",68,"92.0","5.0","5.0","5.0","5.0","5.0","5.0","1","12900","12900","12900","12"
"cfe8e3eaf4d1469ac8a3bfc0bc37a9cf","acura-mdx-2015","Acura","2015 Acura Mdx","https://www.cars.com/research/acura-mdx-2015/","https://www.cars.com/research/acura-mdx-2015/consumer-reviews/?page_size=40","4.8",64,"93.0","5.0","5.0","5.0","5.0","5.0","5.0","1","15999","15999","15999","12"
"6f5e05b98e0d03e05dc9da1032d1508a","acura-mdx-2016","Acura","2016 Acura Mdx","https://www.cars.com/research/acura-mdx-2016/","https://www.cars.com/research/acura-mdx-2016/consumer-reviews/?page_size=40","4.5",115,"89.0","5.0","5.0","5.0","5.0","5.0","5.0","1","17590","17590","17590","12"
"1dee6cddb497e0df7f88e9cd715bcedd","acura-mdx-2018","Acura","2018 Acura Mdx","https://www.cars.com/research/acura-mdx-2018/","https://www.cars.com/research/acura-mdx-2018/consumer-reviews/?page_size=40","4.5",68,"88.0","5.0","5.0","5.0","5.0","5.0","5.0","1","22148","22148","22148","12"
"9acdf71f15099f075a0f5c7897949e5a","acura-mdx-2019","Acura","2019 Acura Mdx","https://www.cars.com/research/acura-mdx-2019/","https://www.cars.com/research/acura-mdx-2019/consumer-reviews/?page_size=40","4.6",66,"84.0","5.0","5.0","5.0","5.0","5.0","5.0","2","18955","22890","20923","12"
"411e7b687d9891cce9a49f2cff50daaa","acura-mdx-2020","Acura","2020 Acura Mdx","https://www.cars.com/research/acura-mdx-2020/","https://www.cars.com/research/acura-mdx-2020/consumer-reviews/?page_size=40","4.8",56,"91.0","5.0","5.0","5.0","5.0","5.0","5.0","2","21774","27478","24626","12"
"4032676a1588777df00949125a66b525","acura-mdx-2022","Acura","2022 Acura Mdx","https://www.cars.com/research/acura-mdx-2022/","https://www.cars.com/research/acura-mdx-2022/consumer-reviews/?page_size=40","4.5",25,"84.0","5.0","5.0","5.0","5.0","5.0","5.0","8","27078","47999","36533","12"
"eca809a249cb4423f195e4a491c996f4","acura-mdx-2023","Acura","2023 Acura Mdx","https://www.cars.com/research/acura-mdx-2023/","https://www.cars.com/research/acura-mdx-2023/consumer-reviews/?page_size=40","3.6",11,"63.0","3.0","3.0","3.0","1.0","3.0","1.0","25","36118","45730","40666","11"
"07294b8ff868bde32f319660c0143d1d","acura-mdx-2024","Acura","2024 Acura Mdx","https://www.cars.com/research/acura-mdx-2024/","https://www.cars.com/research/acura-mdx-2024/consumer-reviews/?page_size=40","4.6",5,"80.0","4.0","5.0","4.0","4.0","5.0","5.0","15","39366","49339","43894","6"
"7f0e8d4271eacdedc811d74b9f1f050a","acura-mdx-2025","Acura","2025 Acura Mdx","https://www.cars.com/research/acura-mdx-2025/","https://www.cars.com/research/acura-mdx-2025/consumer-reviews/?page_size=40","4.7",3,"100.0","5.0","5.0","5.0","5.0","5.0","5.0","4","49992","65000","55246","3"
"4a2ed9eff853b1eed0f28abeb8fe5962","acura-mdx-2026","Acura","2026 Acura Mdx","https://www.cars.com/research/acura-mdx-2026/","https://www.cars.com/research/acura-mdx-2026/consumer-reviews/?page_size=40","5.0",2,"100.0","5.0","5.0","5.0","5.0","5.0","5.0","7","51967","62798","58665","2"
"cf46761716b47a1ed5116a32e6e3d694","acura-rdx-2013","Acura","2013 Acura Rdx","https://www.cars.com/research/acura-rdx-2013/","https://www.cars.com/research/acura-rdx-2013/consumer-reviews/?page_size=40","4.3",84,"81.0","5.0","5.0","5.0","5.0","5.0","5.0","1","11037","11037","11037","12"
"44aa5905e26bcd1c20664564be104d32","acura-rdx-2015","Acura","2015 Acura Rdx","https://www.cars.com/research/acura-rdx-2015/","https://www.cars.com/research/acura-rdx-2015/consumer-reviews/?page_size=40","4.6",70,"90.0","4.0","4.0","4.0","4.0","4.0","4.0","1","16633","16633","16633","12"
"a55a4b5d66f4f8468f1d08c5b6523555","acura-rdx-2016","Acura","2016 Acura Rdx","https://www.cars.com/research/acura-rdx-2016/","https://www.cars.com/research/acura-rdx-2016/consumer-reviews/?page_size=40","4.8",62,"93.0","5.0","5.0","5.0","5.0","5.0","5.0","1","16993","16993","16993","13"
"6bfa808976b3b75d14cf72b40ce5dd24","acura-rdx-2017","Acura","2017 Acura Rdx","https://www.cars.com/research/acura-rdx-2017/","https://www.cars.com/research/acura-rdx-2017/consumer-reviews/?page_size=40","4.8",103,"96.0","5.0","5.0","5.0","5.0","5.0","5.0","3","17500","18372","17957","13"
"c01e9971407eba0a91829d43b993ae43","acura-rdx-2018","Acura","2018 Acura Rdx","https://www.cars.com/research/acura-rdx-2018/","https://www.cars.com/research/acura-rdx-2018/consumer-reviews/?page_size=40","4.8",97,"93.0","5.0","5.0","5.0","4.0","4.0","5.0","4","16483","24988","19774","13"
"904a94bc118156da84f1c3b99d5e30e6","acura-rdx-2019","Acura","2019 Acura Rdx","https://www.cars.com/research/acura-rdx-2019/","https://www.cars.com/research/acura-rdx-2019/consumer-reviews/?page_size=40","4.2",225,"73.0","5.0","5.0","5.0","5.0","5.0","5.0","8","19224","25686","23254","12"
"3b8fdabbe3503147dffa2bb19a1c0273","acura-rdx-2020","Acura","2020 Acura Rdx","https://www.cars.com/research/acura-rdx-2020/","https://www.cars.com/research/acura-rdx-2020/consumer-reviews/?page_size=40","4.4",99,"80.0","5.0","5.0","5.0","5.0","5.0","5.0","4","24078","30033","26730","12"
"d0ddec196154c9ce0ecc18154b0a231e","acura-rdx-2021","Acura","2021 Acura Rdx","https://www.cars.com/research/acura-rdx-2021/","https://www.cars.com/research/acura-rdx-2021/consumer-reviews/?page_size=40","4.7",46,"91.0","5.0","5.0","5.0","4.0","5.0","5.0","8","24779","32788","28204","12"
"c3c91da91c4260a2d38a392611bcf6e0","acura-rdx-2022","Acura","2022 Acura Rdx","https://www.cars.com/research/acura-rdx-2022/","https://www.cars.com/research/acura-rdx-2022/consumer-reviews/?page_size=40","4.3",3,"66.0","5.0","5.0","5.0","5.0","5.0","5.0","5","29955","37440","34280","3"
"b90b66c47bec56cc00fb551a089ad344","acura-rdx-2023","Acura","2023 Acura Rdx","https://www.cars.com/research/acura-rdx-2023/","https://www.cars.com/research/acura-rdx-2023/consumer-reviews/?page_size=40","4.4",5,"80.0","5.0","5.0","4.0","4.0","5.0","5.0","19","33767","41290","37827","5"
"a2b656c729e11f0cf6097380ecae3f37","acura-rdx-2024","Acura","2024 Acura Rdx","https://www.cars.com/research/acura-rdx-2024/","https://www.cars.com/research/acura-rdx-2024/consumer-reviews/?page_size=40","4.4",5,"80.0","5.0","5.0","5.0","5.0","5.0","5.0","6","38281","43995","41502","5"
"f5444991a730886b871726f1ea1086d5","acura-rdx-2025","Acura","2025 Acura Rdx","https://www.cars.com/research/acura-rdx-2025/","https://www.cars.com/research/acura-rdx-2025/consumer-reviews/?page_size=40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5","42295","49081","45210","0"
"4ad797799cab39e0452e624856b2a940","alfa_romeo-giulia-2022","Alfa Romeo","2022 Alfa_Romeo Giulia","https://www.cars.com/research/alfa_romeo-giulia-2022/","https://www.cars.com/research/alfa_romeo-giulia-2022/consumer-reviews/?page_size=40","4.8",4,"100.0","4.0","4.0","4.0","4.0","4.0","4.0","1","27085","27085","27085","4"
"860c2e35b530cf91ffa96d8b0aa9be2c","alfa_romeo-giulia-2024","Alfa Romeo","2024 Alfa_Romeo Giulia","https://www.cars.com/research/alfa_romeo-giulia-2024/","https://www.cars.com/research/alfa_romeo-giulia-2024/consumer-reviews/?page_size=40","5.0",2,"100.0","4.0","4.0","5.0","5.0","5.0","5.0","2","28788","37448","33118","3"
