"seller_sk","seller_key","seller_name","seller_link","seller_website","destination","seller_rating","seller_rating_count","description","phone_new","phone_used","phone_service","hours","highlights","inventory_count","avg_listing_price"
"7d029ab097556fefe81e26c86c8b12c2","1-cochran-buick-gmc-monroeville","#1 Cochran Buick GMC Monroeville","https://www.cars.com/dealers/202604/1-cochran-buick-gmc-monroeville/#Reviews","https://www.cochranofmonroeville.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","4520 William Penn Hwy Building 2, Monroeville, PA 15146","4.8",1242,NULL,"(412) 545-6523","(412) 744-3788","(412) 744-3818","{""Sales hours"": ""9:00am to 7:00pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Early drop-off"", ""Late pick-up"", ""Online service appointment scheduling""]","2","49989"
"6dc0b3023fb537397e1a3d619d9e4230","1-cochran-buick-gmc-robinson","#1 Cochran Buick GMC Robinson","https://www.cars.com/dealers/202599/1-cochran-buick-gmc-robinson/#Reviews","https://www.cochranofrobinson.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","5200 Campbells Run Rd, Pittsburgh, PA 15205","4.5",859,NULL,"(412) 516-2652","(412) 516-4006","(412) 516-4012","{""Sales hours"": ""9:00am to 7:00pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Online service appointment scheduling""]","2","32640"
"f17d5b1a445d8ee8eda5b132b9dd4025","1-cochran-cdjr-of-allegheny-valley","#1 Cochran CDJR of Allegheny Valley","https://www.cars.com/dealers/2310238/1-cochran-cdjr-of-allegheny-valley/#Reviews","https://www.cochranchryslerdodgejeepram.com?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","110-112 Route 908, Natrona Heights, PA 15065","4.7",1214,NULL,"(412) 516-4021","(412) 516-4010","(412) 723-8221","{""Sales hours"": ""9:00am to 7:00pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Complimentary beverages"", ""Complimentary shuttle service"", ""Complimentary wi-fi"", ""Online service appointment scheduling""]","1","23288"
"bd0c59d198b9355da45d5740701caa15","1-cochran-subaru-monroeville","#1 Cochran Subaru Monroeville","https://www.cars.com/dealers/202603/1-cochran-subaru-monroeville/#Reviews","https://www.cochransubaru.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","4520 William Penn Hwy, Monroeville, PA 15146","4.8",2035,NULL,"(412) 968-8460","(412) 968-8461","(412) 968-8463","{""Sales hours"": ""9:00am to 6:00pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Computer work stations""]","1","24488"
"96a5d3d6d7f9deebb7b1e5b4141768db","1st-kia-of-simi-valley","1st Kia of Simi Valley","https://www.cars.com/dealers/109927/1st-kia-of-simi-valley/#Reviews","https://www.1stkia.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","2081 First Street, Simi Valley, CA 93065","3.9",1122,NULL,NULL,NULL,NULL,"{""Sales hours"": ""9:00am to 9:00pm"", ""Service hours"": ""7:00am to 6:00pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Kids play room"", ""Late pick-up"", ""Online service appointment scheduling""]","1","14900"
"0d909173c3c570cc390193f104fda408","6th-avenue-honda","6th Avenue Honda","https://www.cars.com/dealers/113534/6th-avenue-honda/#Reviews","https://www.6thavenuehonda.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","4300 W 6th Ave, Stillwater, OK 74074","4.7",1535,NULL,"(405) 334-4839","(405) 334-4567","(405) 334-4447","{""Sales hours"": ""9:00am to 7:00pm"", ""Service hours"": ""7:30am to 6:00pm""}","[""Children friendly waiting area"", ""Complimentary loaner vehicles"", ""Complimentary shuttle service"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Military discounts on service"", ""Online service appointment scheduling""]","1","22557"
"8749c81d5e97de9ba9d97d6393b0a4b7","acton-toyota-of-littleton","Acton Toyota of Littleton","https://www.cars.com/dealers/5395855/acton-toyota-of-littleton/#Reviews","https://www.actontoyota.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","221 Great Rd Route 2A, Littleton, MA 01460","4.5",3826,NULL,"(781) 943-5001","(781) 943-5038","(781) 943-5017","{""Sales hours"": ""9:00am to 8:00pm"", ""Service hours"": ""7:00am to 6:00pm""}","[""Children friendly waiting area"", ""Complimentary shuttle service"", ""Complimentary wi-fi"", ""Computer work stations"", ""Customer lounge"", ""Early drop-off"", ""Kids play room"", ""Late pick-up"", ""Military discounts on service"", ""Rental service""]","2","38120"
"f423c8d7c7740e5b8a7515b43877c3d2","acura-by-executive","Acura by Executive","https://www.cars.com/dealers/4280/acura-by-executive/#Reviews","https://www.acurabyexecutive.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","527 Washington Ave, North Haven, CT 06473","4.9",1336,"If you're shopping for a quality pre-owned Acura in the North Haven area, Acura by Executive stands out for their no-pressure approach and genuinely knowledgeable team that listens to what you actually need. With nearly 1,500 five-star reviews backing them up, customers consistently praise their fair pricing, smooth financing process, and the kind of professional service that keeps people coming back for their next vehicle. Their factory-certified technicians and full-service department mean you can handle maintenance right there after you drive off the lot.","(855) 260-5237","(203) 902-0870","(203) 902-4481","{""Sales hours"": ""9:00am to 6:00pm"", ""Service hours"": ""7:00am to 5:30pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary loaner vehicles"", ""Complimentary shuttle service"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Late pick-up"", ""Online service appointment scheduling""]","1","41360"
"9378d44ad941ab2be5b9d4e811dd141f","acura-of-berlin","Acura of Berlin","https://www.cars.com/dealers/4101/acura-of-berlin/#Reviews","https://www.acuraofberlin.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","224 Berlin Turnpike, Berlin, CT 06037","4.8",1639,"If you're switching to Acura or looking for your next luxury SUV, Acura of Berlin has earned serious loyalty—customers keep coming back, with many on their second, third, or even fifth vehicle from this dealership. The team here knows Acura inside and out, and their factory-certified service center means you can handle maintenance right on-site with experienced technicians. With a 4.8-star rating from over 1,600 reviews, this franchise delivers the kind of personalized attention that turns first-time buyers into repeat customers.","(860) 357-6516","(860) 357-6496","(860) 357-6519","{""Sales hours"": ""9:00am to 6:00pm"", ""Service hours"": ""7:00am to 5:30pm""}","[""Children friendly waiting area"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary loaner vehicles"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary vacuum"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Late pick-up"", ""Online service appointment scheduling""]","1","41594"
"67d56ac300d471a40a93c6b09aac8b5e","acura-of-johnston","Acura of Johnston","https://www.cars.com/dealers/2168737/acura-of-johnston/#Reviews","https://www.acuraofjohnston.com/?utm_medium=referral&utm_source=cars.com&utm_campaign=cars.com_VDP_referral","5138 Merle Hay Rd, Johnston, IA 50131","4.4",1361,NULL,"(515) 446-7004","(877) 290-8510","(877) 290-8506","{""Sales hours"": ""9:00am to 7:00pm"", ""Service hours"": ""7:00am to 4:30pm""}","[""2014 Dealer of Distunction"", ""Complimentary beverages"", ""Complimentary car wash with service"", ""Complimentary loaner vehicles"", ""Complimentary shuttle service"", ""Complimentary snacks"", ""Complimentary wi-fi"", ""Customer lounge"", ""Early drop-off"", ""Free car wash and vacuum"", ""Late pick-up"", ""Loaner cars"", ""Online service appointment scheduling""]","1","24337"
